stock_symbol,timestamp,open,high,low,close,volume
MSFT,2024-06-21 19:59:00,450.1,450.18,449.95,449.95,340
MSFT,2024-06-21 19:58:00,450.0,450.2,450.0,450.2,66
MSFT,2024-06-21 19:57:00,450.2,450.2,450.1,450.1,2
MSFT,2024-06-21 19:56:00,450.17,450.2,450.0,450.13,167
MSFT,2024-06-21 19:55:00,450.2,450.2,450.0,450.15,73
MSFT,2024-06-21 19:54:00,450.095,450.2,450.095,450.15,12
MSFT,2024-06-21 19:53:00,450.195,450.195,450.0,450.14,8
MSFT,2024-06-21 19:52:00,450.2,450.2,450.1,450.1,147
MSFT,2024-06-21 19:51:00,450.1,450.1,450.0,450.0,6
MSFT,2024-06-21 19:50:00,450.1,450.15,450.1,450.1,220
MSFT,2024-06-21 19:49:00,450.2,450.2,450.1,450.1,17
MSFT,2024-06-21 19:48:00,450.05,450.12,450.05,450.1,845
MSFT,2024-06-21 19:47:00,450.09,450.21,450.0,450.05,49
MSFT,2024-06-21 19:46:00,450.03,450.21,450.0,450.08,55
MSFT,2024-06-21 19:45:00,449.98,450.04,449.98,450.02,95
MSFT,2024-06-21 19:44:00,450.04,450.18,449.98,449.98,74
MSFT,2024-06-21 19:43:00,450.04,450.04,449.98,450.04,55
MSFT,2024-06-21 19:42:00,449.98,450.1,449.98,449.98,148
MSFT,2024-06-21 19:41:00,449.99,450.03,449.985,450.03,702
MSFT,2024-06-21 19:40:00,449.98,449.98,449.95,449.98,143
MSFT,2024-06-21 19:39:00,449.97,449.97,449.96,449.96,8
MSFT,2024-06-21 19:38:00,449.965,449.97,449.965,449.97,7
MSFT,2024-06-21 19:37:00,449.96,449.98,449.96,449.965,212
MSFT,2024-06-21 19:36:00,449.97,449.98,449.97,449.97,25
MSFT,2024-06-21 19:35:00,449.97,449.99,449.97,449.98,99
MSFT,2024-06-21 19:34:00,449.96,449.98,449.96,449.97,303
MSFT,2024-06-21 19:33:00,449.96,449.98,449.96,449.97,155
MSFT,2024-06-21 19:32:00,449.98,449.99,449.96,449.99,283
MSFT,2024-06-21 19:31:00,449.99,449.99,449.975,449.98,127
MSFT,2024-06-21 19:30:00,449.99,449.99,449.99,449.99,100
MSFT,2024-06-21 19:29:00,449.98,449.99,449.96,449.975,104
MSFT,2024-06-21 19:28:00,449.96,449.98,449.96,449.98,160
MSFT,2024-06-21 19:27:00,450.0,450.0,449.975,449.975,6
MSFT,2024-06-21 19:26:00,450.0,450.0,449.98,449.98,128
MSFT,2024-06-21 19:25:00,450.0,450.0,449.96,449.96,5
MSFT,2024-06-21 19:24:00,450.0,450.02,449.96,449.98,116
MSFT,2024-06-21 19:23:00,449.96,450.03,449.96,450.0,11
MSFT,2024-06-21 19:22:00,449.995,450.03,449.97,449.995,10
MSFT,2024-06-21 19:21:00,450.0,450.03,449.97,449.97,107
MSFT,2024-06-21 19:20:00,450.01,450.02,449.97,449.97,348
MSFT,2024-06-21 19:19:00,450.02,450.02,449.992,450.0,24
MSFT,2024-06-21 19:18:00,450.08,450.08,450.0,450.0,25
MSFT,2024-06-21 19:17:00,450.1,450.1,449.986,450.07,102
MSFT,2024-06-21 19:16:00,450.025,450.2,449.96,450.2,168
MSFT,2024-06-21 19:15:00,450.01,450.1,449.95,450.025,24
MSFT,2024-06-21 19:14:00,450.03,450.03,450.025,450.025,18
MSFT,2024-06-21 19:13:00,450.0,450.1,449.95,450.1,552
